Name,HB027,HB215,HB234,HB238,HB364,HB390,HB471,HB473,SB011,SB012,SB032,SB126,SB135,SB006
Adkins,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA
Bechler,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Bentley,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,NAY,YEA,YEA,YEA,YEA
Benvenuti,YEA,YEA,YEA,YEA,NV,NV,YEA,YEA,NV,NAY,YEA,YEA,YEA,NAY
Blanton,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,NAY,YEA,YEA,YEA,YEA
Bratcher,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Brown G,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA
Brown L,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,NAY,YEA,YEA,YEA,NAY
Bunch,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Burch,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA
Cantrell,YEA,YEA,YEA,YEA,YEA,NAY,YEA,NAY,NAY,YEA,YEA,YEA,YEA,YEA
Carney,YEA,YEA,NAY,YEA,NV,NV,YEA,YEA,YEA,NV,YEA,YEA,YEA,NAY
Castlen,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,NAY,YEA,YEA,YEA,NAY
Couch,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Coursey,YEA,YEA,NAY,YEA,NV,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
DeCesare,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,NAY
Donohue,YEA,YEA,YEA,YEA,YEA,NAY,NAY,NAY,YEA,YEA,YEA,YEA,YEA,YEA
Dossett,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
DuPlessis,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Elliott,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY
Fischer,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Fleming,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
Flood,YEA,YEA,YEA,NV,YEA,NAY,NV,NV,NAY,NV,YEA,YEA,YEA,YEA
Fugate,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,NAY,YEA,YEA,YEA,NAY
Gentry,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA
Gooch,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,NAY,YEA,YEA,YEA,NAY
Graham,YEA,YEA,YEA,YEA,YEA,NAY,NAY,NAY,NAY,YEA,YEA,YEA,YEA,YEA
Greer,YEA,YEA,YEA,NV,YEA,NAY,NV,NV,YEA,YEA,YEA,YEA,YEA,YEA
Hale,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NAY,YEA,YEA,YEA,NAY
