Name,HB001,HB002,HCR59
Adkins,NAY,YEA,YEA
Bechler,YEA,NAY,YEA
Bentley,YEA,NAY,YEA
Benvenuti,YEA,NAY,YEA
Blanton,NAY,NAY,YEA
Bratcher,YEA,NAY,YEA
Brown G,NAY,YEA,YEA
Brown L,YEA,NAY,YEA
Bunch,YEA,NAY,YEA
Burch,NAY,YEA,YEA
Cantrell,NAY,YEA,YEA
Carney,YEA,NAY,NAY
Castlen,YEA,NAY,YEA
Couch,YEA,NAY,YEA
Coursey,NAY,NV,NAY
DeCesare,YEA,NAY,YEA
Donohue,NAY,YEA,YEA
Dossett,YEA,NAY,YEA
DuPlessis,YEA,NAY,YEA
Elliott,YEA,NAY,YEA
Fischer,YEA,NAY,YEA
Fleming,YEA,NAY,YEA
Flood,NAY,YEA,YEA
Fugate,YEA,NAY,YEA
Gentry,NAY,YEA,YEA
Gooch,YEA,NAY,YEA
Graham,NAY,YEA,YEA
Greer,NAY,YEA,YEA
Hale,YEA,NAY,YEA
Harris,NAY,YEA,YEA
Hart,YEA,NAY,YEA
Hatton,NAY,YEA,YEA
Heath,YEA,NAY,YEA
Herald,YEA,NAY,NAY
Hoover,YEA,NAY,YEA
Horlander,NV,NV,YEA
Imes,YEA,NV,YEA
Jenkins,NAY,YEA,YEA
Johnson D,YEA,NAY,YEA
Johnson DJ,YEA,NAY,YEA
Kay,NV,NV,YEA
Keene,NAY,YEA,NAY
King,YEA,NAY,YEA
Koenig,YEA,NAY,YEA
Lee,YEA,NAY,YEA
Linder,YEA,NV,YEA
Marzian,NAY,YEA,YEA
Mayfield,YEA,NAY,YEA
McCoy,YEA,NAY,YEA
Meade,YEA,NAY,YEA
Meeks,NV,NV,NAY
Meredith,YEA,NAY,YEA
Meyer,NAY,YEA,YEA
Miles,YEA,NAY,YEA
Miller C,NAY,YEA,NAY
Miller J,YEA,NAY,YEA
Mills,YEA,NAY,YEA
Moffett,YEA,NAY,YEA
Moore,YEA,NAY,YEA
Morgan,YEA,NAY,YEA
Moser,YEA,NAY,YEA
Nelson,NAY,YEA,YEA
Nemes,YEA,NAY,YEA
Osborne,YEA,NAY,YEA
Overly,NAY,YEA,YEA
Owens,NAY,YEA,YEA
Palumbo,NAY,YEA,YEA
Petrie,YEA,NAY,YEA
Pratt,YEA,NAY,YEA
Prunty,YEA,NAY,YEA
Rader,NV,NV,NAY
Rand,NAY,YEA,YEA
Reed,YEA,NAY,YEA
Richards,NAY,NV,YEA
Riggs,NAY,YEA,YEA
Riley,YEA,NAY,YEA
Rothenburger,YEA,NAY,YEA
Rowland,YEA,NAY,YEA
Rudy,YEA,NAY,YEA
Santoro,YEA,NAY,YEA
Schamore,NAY,NV,YEA
Scott,NAY,YEA,NAY
Shell,YEA,NAY,NAY
Simpson,NAY,NV,YEA
Sims,NAY,YEA,YEA
Sinnette,NAY,YEA,YEA
St. Onge,YEA,NAY,YEA
Stewart,YEA,NAY,YEA
Stone,NAY,YEA,NAY
Thomas,YEA,NAY,YEA
Tipton,YEA,NAY,YEA
Turner,YEA,NAY,YEA
Upchurch,YEA,NAY,YEA
Watkins,NAY,NAY,NAY
Wayne,NAY,YEA,NAY
Webber,YEA,NAY,YEA
Wells,YEA,NAY,YEA
Westrom,NAY,YEA,YEA
Wuchner,YEA,NAY,YEA
York,NV,NAY,YEA
