Name,HB378,SB003,SB005,SB006,SB062,SB075,SB081,SB083,SB091,SB104,SB120,SB150,SB136,SB139
Adkins,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Bechler,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea
Bentley,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Benvenuti,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,NV,Yea,Yea,Yea
Blanton,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Bratcher,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Brown G,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea
Brown L,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Bunch,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea
Burch,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea
Cantrell,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Carney,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,NV,Yea,Yea,Yea
Castlen,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Couch,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea
Coursey,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
DeCesare,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Donohue,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea
Dossett,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
DuPlessis,Yea,Yea,Yea,Yea,Yea,NV,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Elliott,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Fischer,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Fleming,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Flood,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea
Fugate,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea
Gentry,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Gooch,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Graham,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea
Greer,Yea,Yea,Yea,Nay,Yea,Nay,Yea,NV,Yea,Yea,Yea,Yea,Yea,Yea
Hale,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea
Harris,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Hart,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Hatton,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Heath,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Herald,Yea,Yea,Yea,Yea,Yea,NV,Yea,Yea,NV,Yea,Yea,NV,Yea,Yea
Hoover,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Horlander,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Imes,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Jenkins,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
