Name,HB 308,HB 310,HB 315,HB 323,HB 347,HB 359,HB 372,HB 401,HB 408,HB 425,,,,,,,,,,,,,,,,,,,,
Adkins,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Bechler,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Bentley,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Benvenuti,YEA,YEA,YEA,NV,YEA,YEA,YEA,NV,NV,YEA,,,,,,,,,,,,,,,,,,,,
Blanton,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Bratcher,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Brown G,YEA,YEA,NAY,NV,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Brown L,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Bunch,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Burch,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,,,,,,,,,,,,,,,,,,,,
Cantrell,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Carney,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Castlen,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Couch,YEA,NAY,NV,YEA,NV,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Coursey,YEA,YEA,YEA,YEA,YEA,NV,NV,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
DeCesare,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Donohue,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Dossett,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
DuPlessis,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Elliott,NV,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Fischer,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,NV,YEA,,,,,,,,,,,,,,,,,,,,
Fleming,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,YEA,,,,,,,,,,,,,,,,,,,,
Flood,YEA,YEA,NAY,NV,YEA,YEA,YEA,NV,NV,YEA,,,,,,,,,,,,,,,,,,,,
